ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value,start_year,author_processed,type_processed,decade,corpus,recency_score,popularity_score
9781488621161,230458930.0,"Australian Signpost Maths :  NSW /  Alan McSeveny, Diane McSeveny-Foster, Erika Johnson, Alan Parker, Rachel McSeveny","McSeveny, Alan",1900-2023,"Book, Book/Illustrated",15.701631546020508,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-664431822-t,1900.0,"McSeveny, Alan",Book/Illustrated,1900.0,"9781488621161 Australian Signpost Maths :  NSW /  Alan McSeveny, Diane McSeveny-Foster, Erika Johnson, Alan Parker, Rachel McSeveny McSeveny, Alan Book/Illustrated",0.8490338164251208,0.34420530884108613
9781488621161,230458930.0,"Australian Signpost Maths :  NSW /  Alan McSeveny, Diane McSeveny-Foster, Erika Johnson, Alan Parker, Rachel McSeveny","McSeveny, Alan",1900-2023,"Book, Book/Illustrated",15.701631546020508,very relevant,url,restricted,https://nla.gov.au/nla.obj-664431013,1900.0,"McSeveny, Alan",Book/Illustrated,1900.0,"9781488621161 Australian Signpost Maths :  NSW /  Alan McSeveny, Diane McSeveny-Foster, Erika Johnson, Alan Parker, Rachel McSeveny McSeveny, Alan Book/Illustrated",0.8490338164251208,0.34420530884108613
9781488621161,230459040.0,"Australian signpost maths :  NSW mentals /  Alan McSeveny, Diane McSeveny-Foster, Rachel McSeveny","McSeveny, Alan",2018,"Book/Illustrated, Book",10.191031455993652,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-664431553-t,2018.0,"McSeveny, Alan",Book/Illustrated,2010.0,"9781488621161 Australian signpost maths :  NSW mentals /  Alan McSeveny, Diane McSeveny-Foster, Rachel McSeveny McSeveny, Alan Book/Illustrated",0.9915458937198067,0.14860456639355213
9781488621161,230459040.0,"Australian signpost maths :  NSW mentals /  Alan McSeveny, Diane McSeveny-Foster, Rachel McSeveny","McSeveny, Alan",2018,"Book/Illustrated, Book",10.191031455993652,very relevant,url,restricted,https://nla.gov.au/nla.obj-664432378,2018.0,"McSeveny, Alan",Book/Illustrated,2010.0,"9781488621161 Australian signpost maths :  NSW mentals /  Alan McSeveny, Diane McSeveny-Foster, Rachel McSeveny McSeveny, Alan Book/Illustrated",0.9915458937198067,0.14860456639355213
9780190323172,179838815.0,Oxford grammar. Andrew Woods,"Woods, Andrew J",2012-2020,"Book, Book/Illustrated",10.053027153015137,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-2975440663-t,2012.0,"Woods, Andrew J",Book/Illustrated,2010.0,"9780190323172 Oxford grammar. Andrew Woods Woods, Andrew J Book/Illustrated",0.9842995169082126,0.14370605376651435
9780190323172,179838815.0,Oxford grammar. Andrew Woods,"Woods, Andrew J",2012-2020,"Book, Book/Illustrated",10.053027153015137,very relevant,url,restricted,https://nla.gov.au/nla.obj-2975440663,2012.0,"Woods, Andrew J",Book/Illustrated,2010.0,"9780190323172 Oxford grammar. Andrew Woods Woods, Andrew J Book/Illustrated",0.9842995169082126,0.14370605376651435
9781740202978,28141087.0,"Targeting handwriting student book : NSW foundation style / by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001-2023,"Book, Book/Illustrated",10.823433876037598,very relevant,,,,2001.0,"Pinsker, Jane",Book/Illustrated,2000.0,"9781740202978 Targeting handwriting student book : NSW foundation style / by Jane Pinsker, illustrated by Stephen Michael King Pinsker, Jane Book/Illustrated",0.9710144927536232,0.17105191892600746
9781740202978,33292019.0,"Targeting handwriting :  NSW foundation style /  by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001,"Book/Illustrated, Book",8.340190887451172,very relevant,,,,2001.0,"Pinsker, Jane",Book/Illustrated,2000.0,"9781740202978 Targeting handwriting :  NSW foundation style /  by Jane Pinsker, illustrated by Stephen Michael King Pinsker, Jane Book/Illustrated",0.9710144927536232,0.08290831127714053
9781922246172,218070585.0,ORIGO Stepping Stones Student Journal Year 1,ORIGO Education,2014,Book,6.004440307617188,very relevant,,,,2014.0,ORIGO Education,Book,2010.0,9781922246172 ORIGO Stepping Stones Student Journal Year 1 ORIGO Education Book,0.9867149758454107,0.0
9780987411464,228434867.0,Music writing. R. Friend & D. McClure ; illustrator: Christie Denman,"Friend, Ruth",2016,"Book/Illustrated, Book",7.884276390075684,very relevant,,,,2016.0,"Friend, Ruth",Book/Illustrated,2010.0,"9780987411464 Music writing. R. Friend & D. McClure ; illustrator: Christie Denman Friend, Ruth Book/Illustrated",0.9891304347826086,0.06672546136563386
