ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value
9780190323172,179838815,Oxford grammar. Andrew Woods,"Woods, Andrew J",2012-2020,"Book, Book/Illustrated",10.053027153015137,very relevant,url,restricted,https://nla.gov.au/nla.obj-2975440663
9781740202978,28141087,"Targeting handwriting student book : NSW foundation style / by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001-2023,"Book, Book/Illustrated",10.823433876037598,very relevant,,,
9781740202978,33292019,"Targeting handwriting :  NSW foundation style /  by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001,"Book/Illustrated, Book",8.340190887451172,very relevant,,,
9781922246172,218070585,ORIGO Stepping Stones Student Journal Year 1,ORIGO Education,2014,Book,6.0044403076171875,very relevant,,,
9780987411464,228434867,Music writing. R. Friend & D. McClure ; illustrator: Christie Denman,"Friend, Ruth",2016,"Book/Illustrated, Book",7.884276390075684,very relevant,,,
9780987411464,237292511,Take Note Music Writing Student Book 3,"McClure, Davina B.",2003,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9781741352948,191620007,Writing Time 1 Student Book : Victorian Modern Cursive,"Serenc, Mary",2014,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9780076044825,7832177,"Spelling mastery / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer","Dixon, Robert, 1947-",1990-2007,"Book/Illustrated, Book",8.340190887451172,very relevant,,,
9780076044825,189726276,"SRA spelling mastery. / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer","Dixon, Robert",2007,"Book/Illustrated, Book",7.633111000061035,very relevant,,,
9780190312497,98479536,Handwriting first for Victoria / Maree Williams,"Williams, Maree",2011-2019,"Book/Illustrated, Book",12.157639503479004,very relevant,,,
9781563160332,,,,,,,,,,
9781337587426,232619285,"Accounting + cengagenowv2, 2 terms printed access card","Warren, Carl S",2017,Book,6.0044403076171875,very relevant,,,
9781933301013,,,,,,,,,,
9781741250893,17911947,"Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King","Dearborn, Tricia",2004,"Book, Book/Illustrated",8.119243621826172,very relevant,,,
9781741250893,201168682,"Targeting handwriting. Student book. 2 : Victorian modern cursive / by Jane Pinsker, Jo Ryan ; [illustrated by] Stephen Michael King","Ryan, Jo",2004,"Book/Illustrated, Book",6.751034259796143,very relevant,,,
9780987395344,192330611,Time for better handwriting (Foundation style) /  Erin Hunter,"Hunter, Erin",2013,"Book/Illustrated, Book",6.751034259796143,very relevant,,,
9780987395344,190821029,Time for better handwriting (Foundation style) : Book 2 / Erin Hunter,"Hunter, Erin",2013,"Book/Illustrated, Book",6.0044403076171875,very relevant,,,
9780142410394,5646021,The twits /  Roald Dahl ; illustrated by Quentin Blake,"Dahl, Roald, 1916-1990",1900-2024,"Book, Book/Illustrated, Audio book, Book/Braille, Book/Large print",27.403976440429688,very relevant,url,restricted,http://openlibrary.org/books/OL27290110M
9780190322809,215602592,"Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell","O'Brien, Harry",2016-2023,"Book/Illustrated, Book",10.703790664672852,very relevant,,,
9780190322809,215602608,"Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell","O'Brien, Harry",2017-2020,"Book/Illustrated, Book",8.548882484436035,very relevant,,,
9780190323189,172092197,Oxford grammar : year 2 / Andrew Woods,"Woods, Andrew J",2012-2020,"Book, Book/Illustrated",13.921150207519531,very relevant,url,thumbnail,https://nla.gov.au/nla.obj-2975442768-t
9780190323189,172092197,Oxford grammar : year 2 / Andrew Woods,"Woods, Andrew J",2012-2020,"Book, Book/Illustrated",13.921150207519531,very relevant,url,restricted,https://nla.gov.au/nla.obj-2975442768
9780190323189,240094176,Oxford grammar. Andrew Woods,"Woods, Andrew",2020,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,
9781741351774,163413090,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,
9780987127150,192634628,Reading conventions /  Lauren O'Brien,"O'Brien, Lauren",2012,"Book/Illustrated, Book",9.91048812866211,very relevant,,,
